model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2025-05-12,"SHS,VOS,HAG,DRI,NVL",5,-0.014397582238805006,-0.003885528395784917,0.3903592526912689,0.004,-0.018397582238805006,1.6771936769173568,0.7357964083823261,0.04378216450802985,2026-06-08 20:08:44
model3,2025-05-13,"CSV,VDS,GEE,CSM,VOS",5,0.01981462442671218,-0.0011856831609502387,0.38654860854148865,0.004,0.01581462442671218,1.7302412641430425,0.7632473766621284,0.04254456957187247,2026-06-08 20:08:44
model3,2025-05-14,"NVL,CSM,VDS,GEE,HAG",5,0.015201195310854865,-0.0013752079511160054,0.38116416335105896,0.004,0.011201195310854865,1.771744194845036,0.7829978549094734,0.04111085399040437,2026-06-08 20:08:44
model3,2025-05-15,"CSM,VDS,NVL,GEE,CSV",5,0.004845812741240208,-0.010528447571272392,0.37477701902389526,0.004,0.0008458127412402077,1.785175548179875,0.7845059372127599,0.03014957294828391,2026-06-08 20:08:44
model3,2025-05-16,"GEE,NVL,VDS,CSM,APG",5,0.01687712780938635,-0.002594577709323422,0.3954979181289673,0.004,0.012877127809386348,1.8321813118780845,0.8074852482428574,0.027476769829043235,2026-06-08 20:08:44
model3,2025-05-19,"GEE,NVL",2,0.059668307141743426,0.017017814634853776,0.4327934980392456,0.004,0.05566830714174342,2.001172776276332,0.9081048921962112,0.04496217903961219,2026-06-08 20:08:44
model3,2025-05-20,"CSM,VHM,VDS,HAG,NVL",5,0.06844555427031684,0.024174722605911685,0.37952369451522827,0.004,0.06444555427031684,2.2065897104095513,1.0310737695796992,0.07022384985156394,2026-06-08 20:08:44
model3,2025-05-21,"NVL,VHM,VCG,CSM,HAG",5,0.04890281204449622,0.018761565715062163,0.39314407110214233,0.004,0.044902812044496226,2.3634009643215257,1.122274693303643,0.09030292494038084,2026-06-08 20:08:44
model3,2025-05-22,"NAG,NVL",2,0.06811560693641605,0.026288049128928778,0.35521888732910156,0.004,0.06411560693641605,2.592501062376813,1.258345623350602,0.11896486179662835,2026-06-08 20:08:44
model3,2025-05-23,"GEE,CSM,NAG",3,-0.012600160727736434,0.017308899882629406,0.40397778153419495,0.004,-0.016600160727736436,2.547234971576301,1.2208567230242022,0.13833291256164637,2026-06-08 20:08:44
model3,2025-05-26,"CTP,VHC,DPR,VOS,CSM",5,-0.02624435911456293,0.008469314740393863,0.3978169560432434,0.004,-0.03024435911456293,2.4541400631185164,1.1536883347510667,0.14797381227748008,2026-06-08 20:08:44
model3,2025-05-27,"CTP,GEE,NHA,SAV,NVL",5,-0.0008509059734131963,0.0027656342080148778,0.3817247748374939,0.004,-0.004850905973413196,2.451200914705803,1.1432409951431524,0.15114868792262004,2026-06-08 20:08:44
model3,2025-05-28,"CSM,VNP,HAG,DCL,NVL",5,0.03398491793513161,0.00956474207656723,0.37027713656425476,0.004,0.029984917935131607,2.5684896945697315,1.20750590049773,0.1621591282143786,2026-06-08 20:08:44
model3,2025-05-29,"NVL,NAG",2,-0.004098256622701357,0.008622757301317443,0.40123268961906433,0.004,-0.008098256622701357,2.5538651080459194,1.189628951219372,0.17218014432248174,2026-06-08 20:08:44
model3,2025-05-30,"NVL,PNC",2,0.08948298686687828,0.00958166756219083,0.3859187364578247,0.004,0.08548298686687827,2.871875572835849,1.376804974099794,0.18341158478838082,2026-06-08 20:08:44
model3,2025-06-02,NVL,1,-0.010309278350515538,-0.007966977132123946,0.36898157000541687,0.004,-0.014309278350515538,2.8319593298169226,1.3427946101405102,0.1739833717544812,2026-06-08 20:08:44
model3,2025-06-03,"APG,CSM,GEE,NVL",4,-0.017782105559513817,-0.012855913909758756,0.36936524510383606,0.004,-0.021782105559513817,2.7638190245143543,1.2917636106381698,0.15889074259571734,2026-06-08 20:08:44
model3,2025-06-04,"DBC,APG,NVL",3,-0.010656075994087725,-0.01361340062572523,0.36825332045555115,0.004,-0.014656075994087725,2.723711482961136,1.258175349000172,0.14311429863531755,2026-06-08 20:08:44
model3,2025-06-05,"NVL,VNP",2,-0.004677939248251772,-0.006634896910596111,0.3601611852645874,0.004,-0.008677939248251772,2.7062921868658263,1.2385790405096486,0.13552985310684385,2026-06-08 20:08:44
model3,2025-06-06,,0,0.0,0.0005245537338639003,0.0,0.0,0.0,2.7062921868658263,1.2385790405096486,0.1361254995312049,2026-06-08 20:08:44
model3,2025-06-09,NVL,1,0.03472222222222232,0.0201331225087973,0.35984763503074646,0.004,0.03072222222222232,2.834982887798668,1.3073531632541955,0.15899925339863508,2026-06-08 20:08:44
